"BLN","TGL","DHUHUR","ASHAR","MAGHRIB","ISYA","SUBUH","TERBIT","DHUHA"
1,10,30/12/1899 11:39:00,30/12/1899 15:04:00,30/12/1899 17:55:00,30/12/1899 19:10:00,30/12/1899 04:01:00,30/12/1899 05:20:00,30/12/1899 05:44:00
1,11,30/12/1899 11:41:00,30/12/1899 15:05:00,30/12/1899 17:57:00,30/12/1899 19:11:00,30/12/1899 04:04:00,30/12/1899 05:22:00,30/12/1899 05:46:00
1,12,30/12/1899 11:41:00,30/12/1899 15:05:00,30/12/1899 17:57:00,30/12/1899 19:11:00,30/12/1899 04:04:00,30/12/1899 05:22:00,30/12/1899 05:46:00
1,13,30/12/1899 11:41:00,30/12/1899 15:05:00,30/12/1899 17:57:00,30/12/1899 19:11:00,30/12/1899 04:04:00,30/12/1899 05:22:00,30/12/1899 05:46:00
1,14,30/12/1899 11:41:00,30/12/1899 15:05:00,30/12/1899 17:57:00,30/12/1899 19:11:00,30/12/1899 04:04:00,30/12/1899 05:22:00,30/12/1899 05:46:00
1,15,30/12/1899 11:41:00,30/12/1899 15:05:00,30/12/1899 17:57:00,30/12/1899 19:11:00,30/12/1899 04:04:00,30/12/1899 05:22:00,30/12/1899 05:46:00
1,16,30/12/1899 11:43:00,30/12/1899 15:06:00,30/12/1899 17:58:00,30/12/1899 19:11:00,30/12/1899 04:07:00,30/12/1899 05:25:00,30/12/1899 05:48:00
1,17,30/12/1899 11:43:00,30/12/1899 15:06:00,30/12/1899 17:58:00,30/12/1899 19:11:00,30/12/1899 04:07:00,30/12/1899 05:25:00,30/12/1899 05:48:00
1,18,30/12/1899 11:43:00,30/12/1899 15:06:00,30/12/1899 17:58:00,30/12/1899 19:11:00,30/12/1899 04:07:00,30/12/1899 05:25:00,30/12/1899 05:48:00
1,19,30/12/1899 11:43:00,30/12/1899 15:06:00,30/12/1899 17:58:00,30/12/1899 19:11:00,30/12/1899 04:07:00,30/12/1899 05:25:00,30/12/1899 05:48:00
1,20,30/12/1899 11:43:00,30/12/1899 15:06:00,30/12/1899 17:58:00,30/12/1899 19:11:00,30/12/1899 04:07:00,30/12/1899 05:25:00,30/12/1899 05:48:00
1,21,30/12/1899 11:44:00,30/12/1899 15:06:00,30/12/1899 17:59:00,30/12/1899 19:12:00,30/12/1899 04:10:00,30/12/1899 05:27:00,30/12/1899 05:50:00
1,22,30/12/1899 11:44:00,30/12/1899 15:06:00,30/12/1899 17:59:00,30/12/1899 19:12:00,30/12/1899 04:10:00,30/12/1899 05:27:00,30/12/1899 05:50:00
1,23,30/12/1899 11:44:00,30/12/1899 15:06:00,30/12/1899 17:59:00,30/12/1899 19:12:00,30/12/1899 04:10:00,30/12/1899 05:27:00,30/12/1899 05:50:00
1,24,30/12/1899 11:44:00,30/12/1899 15:06:00,30/12/1899 17:59:00,30/12/1899 19:12:00,30/12/1899 04:10:00,30/12/1899 05:27:00,30/12/1899 05:50:00
1,25,30/12/1899 11:44:00,30/12/1899 15:06:00,30/12/1899 17:59:00,30/12/1899 19:12:00,30/12/1899 04:10:00,30/12/1899 05:27:00,30/12/1899 05:50:00
1,26,30/12/1899 11:45:00,30/12/1899 15:05:00,30/12/1899 17:59:00,30/12/1899 19:12:00,30/12/1899 04:12:00,30/12/1899 05:29:00,30/12/1899 05:51:00
1,27,30/12/1899 11:45:00,30/12/1899 15:05:00,30/12/1899 17:59:00,30/12/1899 19:12:00,30/12/1899 04:12:00,30/12/1899 05:29:00,30/12/1899 05:51:00
1,28,30/12/1899 11:45:00,30/12/1899 15:05:00,30/12/1899 17:59:00,30/12/1899 19:12:00,30/12/1899 04:12:00,30/12/1899 05:29:00,30/12/1899 05:51:00
1,29,30/12/1899 11:45:00,30/12/1899 15:05:00,30/12/1899 17:59:00,30/12/1899 19:12:00,30/12/1899 04:12:00,30/12/1899 05:29:00,30/12/1899 05:51:00
1,30,30/12/1899 11:45:00,30/12/1899 15:05:00,30/12/1899 17:59:00,30/12/1899 19:12:00,30/12/1899 04:12:00,30/12/1899 05:29:00,30/12/1899 05:51:00
1,31,30/12/1899 11:45:00,30/12/1899 15:05:00,30/12/1899 17:59:00,30/12/1899 19:12:00,30/12/1899 04:12:00,30/12/1899 05:29:00,30/12/1899 05:51:00
2,1,30/12/1899 11:46:00,30/12/1899 15:04:00,30/12/1899 17:59:00,30/12/1899 19:12:00,30/12/1899 04:16:00,30/12/1899 05:31:00,30/12/1899 05:54:00
2,2,30/12/1899 11:46:00,30/12/1899 15:04:00,30/12/1899 17:59:00,30/12/1899 19:12:00,30/12/1899 04:16:00,30/12/1899 05:31:00,30/12/1899 05:54:00
2,3,30/12/1899 11:46:00,30/12/1899 15:04:00,30/12/1899 17:59:00,30/12/1899 19:12:00,30/12/1899 04:16:00,30/12/1899 05:31:00,30/12/1899 05:54:00
2,4,30/12/1899 11:46:00,30/12/1899 15:04:00,30/12/1899 17:59:00,30/12/1899 19:12:00,30/12/1899 04:16:00,30/12/1899 05:31:00,30/12/1899 05:54:00
2,5,30/12/1899 11:46:00,30/12/1899 15:04:00,30/12/1899 17:59:00,30/12/1899 19:12:00,30/12/1899 04:16:00,30/12/1899 05:31:00,30/12/1899 05:54:00
2,6,30/12/1899 11:46:00,30/12/1899 15:02:00,30/12/1899 17:58:00,30/12/1899 19:08:00,30/12/1899 04:17:00,30/12/1899 05:32:00,30/12/1899 05:55:00
2,7,30/12/1899 11:46:00,30/12/1899 15:02:00,30/12/1899 17:58:00,30/12/1899 19:08:00,30/12/1899 04:17:00,30/12/1899 05:32:00,30/12/1899 05:55:00
2,8,30/12/1899 11:46:00,30/12/1899 15:02:00,30/12/1899 17:58:00,30/12/1899 19:08:00,30/12/1899 04:17:00,30/12/1899 05:32:00,30/12/1899 05:55:00
2,9,30/12/1899 11:46:00,30/12/1899 15:02:00,30/12/1899 17:58:00,30/12/1899 19:08:00,30/12/1899 04:17:00,30/12/1899 05:32:00,30/12/1899 05:55:00
2,10,30/12/1899 11:46:00,30/12/1899 15:02:00,30/12/1899 17:58:00,30/12/1899 19:08:00,30/12/1899 04:17:00,30/12/1899 05:32:00,30/12/1899 05:55:00
2,11,30/12/1899 11:46:00,30/12/1899 15:00:00,30/12/1899 17:57:00,30/12/1899 19:07:00,30/12/1899 04:19:00,30/12/1899 05:33:00,30/12/1899 05:56:00
9,10,30/12/1899 11:31:00,30/12/1899 14:47:00,30/12/1899 17:31:00,30/12/1899 18:39:00,30/12/1899 04:16:00,30/12/1899 05:25:00,30/12/1899 05:52:00
9,11,30/12/1899 11:29:00,30/12/1899 14:45:00,30/12/1899 17:30:00,30/12/1899 18:38:00,30/12/1899 04:13:00,30/12/1899 05:22:00,30/12/1899 05:49:00
9,12,30/12/1899 11:29:00,30/12/1899 14:45:00,30/12/1899 17:30:00,30/12/1899 18:38:00,30/12/1899 04:13:00,30/12/1899 05:22:00,30/12/1899 05:49:00
9,13,30/12/1899 11:29:00,30/12/1899 14:45:00,30/12/1899 17:30:00,30/12/1899 18:38:00,30/12/1899 04:13:00,30/12/1899 05:22:00,30/12/1899 05:49:00
9,14,30/12/1899 11:29:00,30/12/1899 14:45:00,30/12/1899 17:30:00,30/12/1899 18:38:00,30/12/1899 04:13:00,30/12/1899 05:22:00,30/12/1899 05:49:00
9,15,30/12/1899 11:29:00,30/12/1899 14:45:00,30/12/1899 17:30:00,30/12/1899 18:38:00,30/12/1899 04:13:00,30/12/1899 05:22:00,30/12/1899 05:49:00
9,16,30/12/1899 11:27:00,30/12/1899 14:42:00,30/12/1899 17:29:00,30/12/1899 18:38:00,30/12/1899 04:11:00,30/12/1899 05:19:00,30/12/1899 05:45:00
9,17,30/12/1899 11:27:00,30/12/1899 14:42:00,30/12/1899 17:29:00,30/12/1899 18:38:00,30/12/1899 04:11:00,30/12/1899 05:19:00,30/12/1899 05:45:00
9,18,30/12/1899 11:27:00,30/12/1899 14:42:00,30/12/1899 17:29:00,30/12/1899 18:36:00,30/12/1899 04:11:00,30/12/1899 05:19:00,30/12/1899 05:45:00
9,19,30/12/1899 11:27:00,30/12/1899 14:42:00,30/12/1899 17:29:00,30/12/1899 18:36:00,30/12/1899 04:11:00,30/12/1899 05:19:00,30/12/1899 05:45:00
9,20,30/12/1899 11:27:00,30/12/1899 14:42:00,30/12/1899 17:29:00,30/12/1899 18:36:00,30/12/1899 04:11:00,30/12/1899 05:19:00,30/12/1899 05:45:00
9,21,30/12/1899 11:25:00,30/12/1899 14:38:00,30/12/1899 17:28:00,30/12/1899 18:36:00,30/12/1899 04:08:00,30/12/1899 05:16:00,30/12/1899 05:42:00
9,22,30/12/1899 11:25:00,30/12/1899 14:38:00,30/12/1899 17:28:00,30/12/1899 18:36:00,30/12/1899 04:08:00,30/12/1899 05:16:00,30/12/1899 05:42:00
